A,+\A\-\A
B,+\B\-\B
C,+\C\-\C
D,+\D\-\D
E,+\E\-\E
F,+\F\-\F
G,+\G\-\G
H,+\H\-\H
I,+\I\-\I
J,+\J\-\J
K,+\K\-\K
L,+\L\-\L
M,+\M\-\M
N,+\N\-\N
O,+\O\-\O
P,+\P\-\P
Q,+\Q\-\Q
R,+\R\-\R
S,+\S\-\S
T,+\T\-\T
U,+\U\-\U
V,+\V\-\V
W,+\W\-\W
X,+\X\-\X
Y,+\Y\-\Y
Z,+\Z\-\Z
1,+\1\-\1
2,+\2\-\2
3,+\3\-\3
4,+\4\-\4
5,+\5\-\5
6,+\6\-\6
7,+\7\-\7
8,+\8\-\8
9,+\9\-\9
0,+\0\-\0
F1,+\F1\-\F1
F2,+\F2\-\F2
F3,+\F3\-\F3
F4,+\F4\-\F4
F5,+\F5\-\F5
F6,+\F6\-\F6
F7,+\F7\-\F7
F8,+\F8\-\F8
F9,+\F9\-\F9
F10,+\F10\-\F10
F11,+\F11\-\F11
F12,+\F12\-\F12
ENTER,+\ENTER\-\ENTER
ESCAPE,+\ESCAPE\-\ESCAPE
BACKSPACE,+\BACKSPACE\-\BACKSPACE
TAB,+\TAB\-\TAB
SPACE,+\SPACE\-\SPACE
MINUS,+\MINUS\-\MINUS
EQUAL,+\EQUAL\-\EQUAL
LEFT BRACKET,+\LEFT BRACKET\-\LEFT BRACKET
RIGHT BRACKET,+\RIGHT BRACKET\-\RIGHT BRACKET
BACKSLASH,+\BACKSLASH\-\BACKSLASH
SEMICOLON,+\SEMICOLON\-\SEMICOLON
QUOTE,+\QUOTE\-\QUOTE
GRAVE,+\GRAVE\-\GRAVE
COMMA,+\COMMA\-\COMMA
DOT,+\DOT\-\DOT
SLASH,+\SLASH\-\SLASH
CAPS LOCK,+\CAPS LOCK\-\CAPS LOCK
LEFT CONTROL,+\LEFT CONTROL\-\LEFT CONTROL
RIGHT CONTROL,+\RIGHT CONTROL\-\RIGHT CONTROL
LEFT SHIFT,+\LEFT SHIFT\-\LEFT SHIFT
LEFT ALT,+\LEFT ALT\-\LEFT ALT
RIGHT ALT,+\RIGHT ALT\-\RIGHT ALT
LEFT WINDOWS KEY,+\LEFT WINDOWS KEY\-\LEFT WINDOWS KEY
RIGHT WINDOWS KEY,+\RIGHT WINDOWS\KEY\-\RIGHT WINDOWS KEY
PRINT SCREEN,+\PRINT SCREEN\-\PRINT SCREEN
SCROLL LOCK,+\SCROLL LOCK\-\SCROLL LOCK
PAUSE,+\PAUSE\-\PAUSE
INSERT,+\INSERT\-\INSERT
HOME,+\HOME\-\HOME
PAGE UP,+\PAGE UP\-\PAGE UP
PAGE DOWN,+\PAGE DOWN\-\PAGE DOWN
DELETE,+\DELETE\-\DELETE
END,+\END\-\END
RIGHT ARROW,+\RIGHT ARROW\-\RIGHT ARROW
LEFT ARROW,+\LEFT ARROW\-\LEFT ARROW
DOWN ARROW,+\DOWN ARROW\-\DOWN ARROW
UP ARROW,+\UP ARROW\-\UP ARROW
APPLICATION,+\APPLICATION\-\APPLICATION
